CODE,AREA,AGE GROUP,SEX,2018,2019,2020,2021,2022
E06000001,Hartlepool,0-4,M,2732,2659.5,2621.6,2531.3,2482.0
E06000001,Hartlepool,5-9,M,3038,3026.3,2983.7,2962.5,2891.8
E06000001,Hartlepool,10-14,M,2822,2891.3,2976.4,3028.1,3060.9
E06000001,Hartlepool,15-19,M,2668,2664.9,2621.1,2613.1,2690.1
E06000001,Hartlepool,20-24,M,2803,2679.0,2569.6,2509.4,2399.9
E06000001,Hartlepool,25-29,M,2974,2981.9,3039.6,2979.1,2915.2
E06000001,Hartlepool,30-34,M,2893,2951.6,2934.4,3005.5,3030.0
E06000001,Hartlepool,35-39,M,2621,2663.1,2715.9,2755.4,2820.6
E06000001,Hartlepool,40-44,M,2334,2353.9,2404.5,2457.8,2574.4
E06000001,Hartlepool,45-49,M,3022,2934.8,2787.6,2643.6,2515.3
E06000001,Hartlepool,50-54,M,3320,3248.3,3118.9,3108.6,3014.2
E06000001,Hartlepool,55-59,M,3311,3281.0,3386.8,3343.2,3329.6
E06000001,Hartlepool,60-64,M,2815,2918.2,2998.9,3094.2,3116.9
E06000001,Hartlepool,65-69,M,2570,2559.6,2554.1,2568.8,2656.3
E06000001,Hartlepool,70-74,M,2322,2411.3,2453.8,2502.2,2416.9
E06000001,Hartlepool,75-79,M,1387,1405.4,1490.8,1600.0,1808.2
E06000001,Hartlepool,80-84,M,1072,1103.1,1079.2,1036.9,1013.6
E06000001,Hartlepool,85-89,M,583,592.0,595.9,624.0,632.9
E06000001,Hartlepool,90+,M,237,244.6,261.9,260.3,277.0
E06000001,Hartlepool,0-4,F,2565,2498.1,2447.8,2387.9,2344.5
E06000001,Hartlepool,5-9,F,2919,2931.6,2877.5,2832.0,2769.1
E06000001,Hartlepool,10-14,F,2778,2889.7,2968.7,3015.7,3045.9
E06000001,Hartlepool,15-19,F,2524,2400.9,2420.4,2521.3,2640.4
E06000001,Hartlepool,20-24,F,2619,2557.9,2496.3,2415.9,2311.2
E06000001,Hartlepool,25-29,F,3016,3025.7,3007.3,2929.8,2817.7
E06000001,Hartlepool,30-34,F,3140,3145.1,3123.2,3114.0,3138.0
E06000001,Hartlepool,35-39,F,2802,2854.0,2919.9,3003.5,3071.1
E06000001,Hartlepool,40-44,F,2554,2613.4,2666.5,2732.3,2812.7
E06000001,Hartlepool,45-49,F,3150,3008.2,2898.5,2738.0,2656.3
E06000001,Hartlepool,50-54,F,3580,3512.3,3455.1,3387.2,3264.6
E06000001,Hartlepool,55-59,F,3464,3509.3,3573.0,3612.8,3594.2
E06000001,Hartlepool,60-64,F,2819,3000.2,3020.9,3154.6,3324.1
E06000001,Hartlepool,65-69,F,2726,2605.2,2641.0,2683.5,2695.1
E06000001,Hartlepool,70-74,F,2315,2490.4,2571.5,2595.4,2560.0
E06000001,Hartlepool,75-79,F,1695,1693.1,1692.6,1769.4,1889.1
E06000001,Hartlepool,80-84,F,1556,1534.3,1526.9,1477.2,1443.1
E06000001,Hartlepool,85-89,F,946,954.9,974.4,956.2,985.0
E06000001,Hartlepool,90+,F,550,572.1,582.3,599.0,613.1
E06000002,Middlesbrough,0-4,M,4982,4855.0,4747.3,4652.6,4550.7
E06000002,Middlesbrough,5-9,M,4855,5011.8,4985.8,4993.5,4967.1
E06000002,Middlesbrough,10-14,M,4329,4328.0,4456.4,4489.4,4592.0
E06000002,Middlesbrough,15-19,M,4303,4353.3,4382.9,4453.2,4518.3
E06000002,Middlesbrough,20-24,M,6285,6067.8,5963.4,5797.0,5673.6
E06000002,Middlesbrough,25-29,M,5838,5781.0,5656.9,5643.0,5503.4
E06000002,Middlesbrough,30-34,M,4654,4776.2,4914.2,4900.3,5056.9
E06000002,Middlesbrough,35-39,M,3801,3881.1,3887.3,3996.9,4006.8
E06000002,Middlesbrough,40-44,M,3671,3625.5,3603.2,3619.6,3697.4
E06000002,Middlesbrough,45-49,M,3918,3863.3,3791.6,3644.2,3488.6
E06000002,Middlesbrough,50-54,M,4362,4247.6,4043.1,3951.8,3879.2
E06000002,Middlesbrough,55-59,M,4329,4317.2,4418.7,4433.8,4262.3
E06000002,Middlesbrough,60-64,M,3776,3846.1,3914.1,3932.3,4028.4
E06000002,Middlesbrough,65-69,M,3162,3163.1,3182.8,3252.0,3341.0
E06000002,Middlesbrough,70-74,M,2860,2917.5,2944.7,2981.3,2851.7
E06000002,Middlesbrough,75-79,M,1868,1915.6,1998.7,2064.1,2272.0
E06000002,Middlesbrough,80-84,M,1439,1463.7,1448.9,1436.8,1448.6
E06000002,Middlesbrough,85-89,M,756,734.0,745.9,743.8,763.3
E06000002,Middlesbrough,90+,M,248,270.4,273.9,296.0,293.9
E06000002,Middlesbrough,0-4,F,4675,4628.5,4553.8,4538.1,4445.0
E06000002,Middlesbrough,5-9,F,4751,4751.3,4779.5,4631.5,4611.0
E06000002,Middlesbrough,10-14,F,4250,4303.1,4367.5,4449.9,4502.8
E06000002,Middlesbrough,15-19,F,4050,4048.5,4027.5,4128.8,4261.1
E06000002,Middlesbrough,20-24,F,5365,5223.4,5145.3,5075.2,4934.8
E06000002,Middlesbrough,25-29,F,5160,5204.4,5191.8,5104.7,4972.1
E06000002,Middlesbrough,30-34,F,4722,4746.0,4703.1,4736.8,4825.8
E06000002,Middlesbrough,35-39,F,4309,4343.3,4386.9,4349.9,4331.2
E06000002,Middlesbrough,40-44,F,3645,3632.5,3694.4,3774.9,3893.2
